,Unnamed: 0,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,0,01/22/20,0,0,0.0,0,0,0,0
1,1,01/23/20,0,0,0.0,0,0,0,0
2,2,01/24/20,0,0,0.0,0,0,0,0
3,3,01/25/20,0,0,0.0,0,0,0,0
4,4,01/26/20,1,0,0.0,1,0,0,0
5,5,01/27/20,1,0,0.0,0,0,0,0
6,6,01/28/20,2,0,0.0,1,0,0,0
7,7,01/29/20,2,0,0.0,0,0,0,0
8,8,01/30/20,2,0,0.0,0,0,0,0
9,9,01/31/20,4,0,0.0,2,0,0,0
10,10,02/01/20,4,0,0.0,0,0,0,0
11,11,02/02/20,4,0,0.0,0,0,0,0
12,12,02/03/20,4,0,0.0,0,0,0,0
13,13,02/04/20,4,0,0.0,0,0,0,0
14,14,02/05/20,5,0,0.0,1,0,0,0
15,15,02/06/20,5,0,0.0,0,0,0,0
16,16,02/07/20,7,0,0.0,2,0,0,0
17,17,02/08/20,7,0,0.0,0,0,0,0
18,18,02/09/20,7,0,0.0,0,0,0,0
19,19,02/10/20,7,0,0.0,0,0,0,0
20,20,02/11/20,7,0,0.0,0,0,0,0
21,21,02/12/20,7,0,1.0,0,0,1,1
22,22,02/13/20,7,0,1.0,0,0,0,0
23,23,02/14/20,7,0,1.0,0,0,0,0
24,24,02/15/20,7,0,1.0,0,0,0,0
25,25,02/16/20,7,0,1.0,0,0,0,0
26,26,02/17/20,8,0,1.0,1,0,0,0
27,27,02/18/20,8,0,1.0,0,0,0,0
28,28,02/19/20,8,0,1.0,0,0,0,0
29,29,02/20/20,8,0,1.0,0,0,0,0
30,30,02/21/20,9,0,3.0,1,0,2,2
31,31,02/22/20,9,0,3.0,0,0,0,0
32,32,02/23/20,9,0,3.0,0,0,0,0
33,33,02/24/20,10,0,3.0,1,0,0,0
34,34,02/25/20,11,0,3.0,1,0,0,0
35,35,02/26/20,11,0,3.0,0,0,0,0
36,36,02/27/20,13,0,6.0,2,0,3,3
37,37,02/28/20,14,0,6.0,1,0,0,0
38,38,02/29/20,20,0,6.0,6,0,0,0
39,39,03/01/20,24,0,6.0,4,0,0,0
40,40,03/02/20,27,0,6.0,3,0,0,0
41,41,03/03/20,30,0,6.0,3,0,0,0
42,42,03/04/20,33,0,6.0,3,0,0,0
43,43,03/05/20,37,0,6.0,4,0,0,0
44,44,03/06/20,49,0,6.0,12,0,0,0
45,45,03/07/20,54,0,8.0,5,0,2,2
46,46,03/08/20,64,0,8.0,10,0,0,0
47,47,03/09/20,77,1,8.0,13,1,0,1
48,48,03/10/20,79,1,8.0,2,0,0,0
49,49,03/11/20,108,1,8.0,29,0,0,0
50,50,03/12/20,117,1,8.0,9,0,0,0
51,51,03/13/20,193,1,8.0,76,0,0,0
52,52,03/14/20,198,1,8.0,5,0,0,0
53,53,03/15/20,252,1,8.0,54,0,0,0
54,54,03/16/20,415,4,9.0,163,3,1,4
55,55,03/17/20,478,5,9.0,63,1,0,1
56,56,03/18/20,657,8,9.0,179,3,0,3
57,57,03/19/20,800,9,9.0,143,1,0,1
58,58,03/20/20,943,12,9.0,143,3,0,3
59,59,03/21/20,1277,19,10.0,334,7,1,8
60,60,03/22/20,1469,21,10.0,192,2,0,2
61,61,03/23/20,2088,25,10.0,619,4,0,4
62,62,03/24/20,2790,26,110.0,702,1,100,101
63,63,03/25/20,3251,30,183.0,461,4,73,77
64,64,03/26/20,4042,38,184.0,791,8,1,9
65,65,03/27/20,4682,54,256.0,640,16,72,88
66,66,03/28/20,5576,61,466.0,894,7,210,217
67,67,03/29/20,6280,64,466.0,704,3,0,3
68,68,03/30/20,7398,80,466.0,1118,16,0,16
69,69,03/31/20,8527,101,1592.0,1129,21,1126,1147
70,70,04/01/20,9560,109,,1033,8,0,-260
71,71,04/02/20,11284,139,1735.0,1724,30,0,441
72,72,04/03/20,12437,179,2175.0,1153,40,440,480
73,73,04/04/20,12978,218,2577.0,541,39,402,441
74,74,04/05/20,15756,259,3012.0,2778,41,435,476
75,75,04/06/20,16563,339,3256.0,807,80,244,324
76,76,04/07/20,17872,375,3791.0,1309,36,535,571
77,77,04/08/20,19141,407,4154.0,1269,32,363,395
78,78,04/09/20,20654,503,5162.0,1513,96,1008,1104
79,79,04/10/20,22059,557,5855.0,1405,54,693,747
80,80,04/11/20,23316,654,6589.0,1257,97,734,831
81,81,04/12/20,24299,714,7123.0,983,60,534,594
82,82,04/13/20,25680,781,7758.0,1381,67,635,702
83,83,04/14/20,27035,901,8210.0,1355,120,452,572
84,84,04/15/20,28209,1008,8966.0,1174,107,756,863
