roi,region,subregion
Aruba,Americas,Caribbean
Afghanistan,Asia,Southern Asia
Angola,Africa,Middle Africa
Anguilla,Americas,Caribbean
Åland Islands,Europe,Northern Europe
Albania,Europe,Southern Europe
Andorra,Europe,Southern Europe
United Arab Emirates,Asia,Western Asia
Argentina,Americas,South America
Armenia,Asia,Western Asia
American Samoa,Oceania,Polynesia
Antarctica,Antarctic,
French Southern and Antarctic Lands,Antarctic,
Antigua and Barbuda,Americas,Caribbean
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Burundi,Africa,Eastern Africa
Belgium,Europe,Western Europe
Benin,Africa,Western Africa
Burkina Faso,Africa,Western Africa
Bangladesh,Asia,Southern Asia
Bulgaria,Europe,Eastern Europe
Bahrain,Asia,Western Asia
Bahamas,Americas,Caribbean
Burma,Asia,South-Eastern Asia
BR_Alagoas,South America,Brazil
BR_Amapa,South America,Brazil
BR_Amazonas,South America,Brazil
BR_Bahia,South America,Brazil
BR_Ceara,South America,Brazil
BR_Distrito Federal,South America,Brazil
BR_Espirito Santo,South America,Brazil
BR_Goias,South America,Brazil
BR_Maranhao,South America,Brazil
BR_Mato Grosso,South America,Brazil
BR_Mato Grosso do Sul,South America,Brazil
BR_Minas Gerais,South America,Brazil
BR_Para,South America,Brazil
BR_Paraiba,South America,Brazil
BR_Parana,South America,Brazil
BR_Pernambuco,South America,Brazil
BR_Piau,South America,Brazil
BR_Rio Grande do Norte,South America,Brazil
BR_Rio Grande do Sul,South America,Brazil
BR_Rio de Janeiro,South America,Brazil
BR_Rondonia,South America,Brazil
BR_Roraima,South America,Brazil
BR_Santa Catarina,South America,Brazil
BR_Sao Paulo,South America,Brazil
BR_Sergipe,South America,Brazil
BR_Tocantins,South America,Brazil
Bosnia and Herzegovina,Europe,Southern Europe
Saint Barthélemy,Americas,Caribbean
"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa
Belarus,Europe,Eastern Europe
Belize,Americas,Central America
Bermuda,Americas,North America
Bolivia,Americas,South America
Caribbean Netherlands,Americas,Caribbean
Brazil,Americas,South America
Barbados,Americas,Caribbean
Brunei,Asia,South-Eastern Asia
Bhutan,Asia,Southern Asia
Bouvet Island,Antarctic,
Botswana,Africa,Southern Africa
CA_Alberta,North America,Canada
CA_BC,North America,Canada
CA_Manitoba,North America,Canada
CA_NL,North America,Canada
CA_NWT,North America,Canada
CA_New Brunswick,North America,Canada
CA_Nova Scotia,North America,Canada
CA_Nunavut,North America,Canada
CA_Ontario,North America,Canada
CA_PEI,North America,Canada
CA_Quebec,North America,Canada
CA_Saskatchewan,North America,Canada
CA_Yukon,North America,Canada
Central African Republic,Africa,Middle Africa
Canada,Americas,North America
Cocos (Keeling) Islands,Oceania,Australia and New Zealand
Switzerland,Europe,Western Europe
Chile,Americas,South America
China,Asia,Eastern Asia
Ivory Coast,Africa,Western Africa
Cameroon,Africa,Middle Africa
DR Congo,Africa,Middle Africa
Republic of the Congo,Africa,Middle Africa
Cook Islands,Oceania,Polynesia
Colombia,Americas,South America
Comoros,Africa,Eastern Africa
Cape Verde,Africa,Western Africa
Costa Rica,Americas,Central America
Cuba,Americas,Caribbean
Curaçao,Americas,Caribbean
Christmas Island,Oceania,Australia and New Zealand
Cayman Islands,Americas,Caribbean
Cyprus,Europe,Eastern Europe
Czechia,Europe,Eastern Europe
Germany,Europe,Western Europe
Djibouti,Africa,Eastern Africa
Dominica,Americas,Caribbean
Denmark,Europe,Northern Europe
Dominican Republic,Americas,Caribbean
Algeria,Africa,Northern Africa
Ecuador,Americas,South America
Egypt,Africa,Northern Africa
Eritrea,Africa,Eastern Africa
Western Sahara,Africa,Northern Africa
Spain,Europe,Southern Europe
Estonia,Europe,Northern Europe
Ethiopia,Africa,Eastern Africa
Finland,Europe,Northern Europe
Fiji,Oceania,Melanesia
Falkland Islands,Americas,South America
France,Europe,Western Europe
Faroe Islands,Europe,Northern Europe
Micronesia,Oceania,Micronesia
Gabon,Africa,Middle Africa
United Kingdom,Europe,Northern Europe
Georgia,Asia,Western Asia
Guernsey,Europe,Northern Europe
Ghana,Africa,Western Africa
Gibraltar,Europe,Southern Europe
Guinea,Africa,Western Africa
Guadeloupe,Americas,Caribbean
Gambia,Africa,Western Africa
Guinea-Bissau,Africa,Western Africa
Equatorial Guinea,Africa,Middle Africa
Greece,Europe,Southern Europe
Grenada,Americas,Caribbean
Greenland,Americas,North America
Guatemala,Americas,Central America
French Guiana,Americas,South America
Guam,Oceania,Micronesia
Guyana,Americas,South America
Hong Kong,Asia,Eastern Asia
Heard Island and McDonald Islands,Antarctic,
Honduras,Americas,Central America
Croatia,Europe,Southern Europe
Haiti,Americas,Caribbean
Hungary,Europe,Eastern Europe
Indonesia,Asia,South-Eastern Asia
Isle of Man,Europe,Northern Europe
India,Asia,Southern Asia
British Indian Ocean Territory,Africa,Eastern Africa
Ireland,Europe,Northern Europe
Iran,Asia,Southern Asia
Iraq,Asia,Western Asia
Iceland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,Americas,Caribbean
Jersey,Europe,Northern Europe
Jordan,Asia,Western Asia
Japan,Asia,Eastern Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Eastern Africa
Kyrgyzstan,Asia,Central Asia
Cambodia,Asia,South-Eastern Asia
Kiribati,Oceania,Micronesia
Saint Kitts and Nevis,Americas,Caribbean
South Korea,Asia,Eastern Asia
Kosovo,Europe,Eastern Europe
Kuwait,Asia,Western Asia
Laos,Asia,South-Eastern Asia
Lebanon,Asia,Western Asia
Liberia,Africa,Western Africa
Libya,Africa,Northern Africa
Saint Lucia,Americas,Caribbean
Liechtenstein,Europe,Western Europe
Sri Lanka,Asia,Southern Asia
Lesotho,Africa,Southern Africa
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Latvia,Europe,Northern Europe
Macau,Asia,Eastern Asia
Saint Martin,Americas,Caribbean
Morocco,Africa,Northern Africa
Monaco,Europe,Western Europe
Moldova,Europe,Eastern Europe
Madagascar,Africa,Eastern Africa
Maldives,Asia,Southern Asia
Mexico,Americas,North America
Marshall Islands,Oceania,Micronesia
North Macedonia,Europe,Southern Europe
Mali,Africa,Western Africa
Malta,Europe,Southern Europe
Myanmar,Asia,South-Eastern Asia
Montenegro,Europe,Southern Europe
Mongolia,Asia,Eastern Asia
Northern Mariana Islands,Oceania,Micronesia
Mozambique,Africa,Eastern Africa
Mauritania,Africa,Western Africa
Montserrat,Americas,Caribbean
Martinique,Americas,Caribbean
Mauritius,Africa,Eastern Africa
Malawi,Africa,Eastern Africa
Malaysia,Asia,South-Eastern Asia
Mayotte,Africa,Eastern Africa
Namibia,Africa,Southern Africa
New Caledonia,Oceania,Melanesia
Niger,Africa,Western Africa
Norfolk Island,Oceania,Australia and New Zealand
Nigeria,Africa,Western Africa
Nicaragua,Americas,Central America
Niue,Oceania,Polynesia
Netherlands,Europe,Western Europe
Norway,Europe,Northern Europe
Nepal,Asia,Southern Asia
Nauru,Oceania,Micronesia
New Zealand,Oceania,Australia and New Zealand
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
Panama,Americas,Central America
Pitcairn Islands,Oceania,Polynesia
Peru,Americas,South America
Philippines,Asia,South-Eastern Asia
Palau,Oceania,Micronesia
Papua New Guinea,Oceania,Melanesia
Poland,Europe,Eastern Europe
Puerto Rico,Americas,Caribbean
North Korea,Asia,Eastern Asia
Portugal,Europe,Southern Europe
Paraguay,Americas,South America
Palestine,Asia,Western Asia
French Polynesia,Oceania,Polynesia
Qatar,Asia,Western Asia
