Region,R0 (CI),"Rt(April 15th, 2020) (CI)",CAR (week 0) (CI),"CARt(April 15th, 2020) (CI)",IFR (week 0) (CI),"IFRt(April 15th, 2020) (CI)",delta weeks
US_AK,"5.3
(2.0, 15.0)","1.6
(1.0, 3.0)","0.09
(0.02, 0.5)","0.2
(0.03, 0.7)","0.005
(0.001, 0.03)","0.02
(0.004, 0.1)","3
"
US_AR,"4.6
(1.9, 11.0)","1.5
(1.0, 3.0)","0.06
(0.02, 0.3)","0.1
(0.03, 0.5)","0.002
(0.0004, 0.009)","0.01
(0.002, 0.04)","4
"
US_AZ,"4.2
(1.8, 9.8)","2.1
(1.0, 5.0)","0.05
(0.02, 0.3)","0.09
(0.02, 0.4)","0.004
(0.0009, 0.02)","0.01
(0.002, 0.07)","4
"
US_DC,"3.8
(1.8, 8.4)","1.5
(1.0, 3.0)","0.05
(0.01, 0.3)","0.1
(0.02, 0.5)","0.002
(0.0004, 0.01)","0.007
(0.001, 0.04)","4
"
US_DE,"4
(1.7, 9.9)","2.2
(1.0, 5.0)","0.06
(0.02, 0.3)","0.09
(0.02, 0.5)","0.004
(0.0009, 0.02)","0.01
(0.002, 0.06)","4
"
US_GU,"3.8
(1.6, 8.6)","0.53
(0.1, 1.0)","0.09
(0.02, 0.5)","0.2
(0.03, 0.8)","0.006
(0.001, 0.03)","0.04
(0.004, 0.1)","3
"
US_HI,"3.9
(1.6, 10.0)","1.4
(0.9, 3.0)","0.07
(0.02, 0.4)","0.1
(0.02, 0.6)","0.003
(0.0007, 0.02)","0.01
(0.002, 0.06)","3
"
US_IA,"3.5
(1.6, 8.0)","1.9
(1.0, 4.0)","0.05
(0.02, 0.3)","0.08
(0.02, 0.4)","0.003
(0.0006, 0.02)","0.007
(0.001, 0.04)","4
"
US_KY,"3.4
(1.6, 7.6)","2.6
(1.0, 6.0)","0.05
(0.01, 0.3)","0.06
(0.01, 0.4)","0.004
(0.001, 0.03)","0.008
(0.001, 0.05)","4
"
US_MD,"4
(1.7, 9.1)","2.5
(1.0, 6.0)","0.05
(0.01, 0.3)","0.07
(0.01, 0.4)","0.002
(0.0006, 0.02)","0.006
(0.001, 0.03)","4
"
US_ME,"6.6
(2.5, 16.0)","1.3
(1.0, 2.0)","0.08
(0.02, 0.4)","0.2
(0.04, 0.7)","0.002
(0.0006, 0.01)","0.02
(0.003, 0.05)","3
"
US_MI,"4.9
(2.0, 12.0)","1.1
(0.2, 2.0)","0.06
(0.02, 0.3)","0.2
(0.03, 0.6)","0.005
(0.001, 0.04)","0.05
(0.007, 0.2)","5
"
US_MN,"5.8
(2.3, 14.0)","1.2
(0.6, 2.0)","0.07
(0.02, 0.3)","0.2
(0.04, 0.7)","0.003
(0.0007, 0.01)","0.02
(0.003, 0.06)","4
"
US_MT,"3.4
(1.5, 8.7)","1.6
(0.9, 4.0)","0.06
(0.02, 0.4)","0.09
(0.01, 0.5)","0.004
(0.0009, 0.03)","0.01
(0.002, 0.08)","3
"
US_ND,"6.5
(2.3, 17.0)","1.3
(1.0, 2.0)","0.1
(0.03, 0.5)","0.2
(0.05, 0.7)","0.004
(0.0009, 0.02)","0.02
(0.004, 0.07)","3
"
US_NH,"3.6
(1.6, 8.3)","1.9
(1.0, 4.0)","0.05
(0.01, 0.3)","0.08
(0.01, 0.4)","0.004
(0.0008, 0.02)","0.01
(0.001, 0.06)","4
"
US_NJ,"5.4
(2.2, 13.0)","1.8
(1.0, 4.0)","0.05
(0.02, 0.3)","0.1
(0.02, 0.5)","0.003
(0.0008, 0.02)","0.02
(0.003, 0.1)","4
"
US_NM,"3.7
(1.6, 8.9)","2.1
(1.0, 5.0)","0.06
(0.02, 0.3)","0.09
(0.02, 0.5)","0.003
(0.0008, 0.02)","0.009
(0.001, 0.05)","4
"
US_NY,"4.7
(2.0, 11.0)","0.94
(0.3, 2.0)","0.05
(0.02, 0.3)","0.2
(0.03, 0.7)","0.002
(0.0005, 0.01)","0.02
(0.003, 0.1)","5
"
US_OK,"4.4
(1.8, 11.0)","1.9
(1.0, 4.0)","0.06
(0.02, 0.3)","0.1
(0.02, 0.5)","0.003
(0.0008, 0.02)","0.01
(0.002, 0.07)","3
"
US_RI,"4.7
(1.8, 15.0)","2.6
(1.0, 5.0)","0.08
(0.02, 0.5)","0.1
(0.02, 0.6)","0.005
(0.001, 0.03)","0.02
(0.002, 0.08)","4
"
US_SD,"2.6
(1.4, 5.4)","2.6
(1.0, 5.0)","0.05
(0.01, 0.3)","0.04
(0.009, 0.3)","0.002
(0.0006, 0.02)","0.002
(0.0004, 0.01)","4
"
US_TN,"4.8
(2.0, 11.0)","1.7
(0.9, 4.0)","0.06
(0.02, 0.3)","0.1
(0.02, 0.5)","0.002
(0.0005, 0.01)","0.01
(0.002, 0.05)","4
"
US_TX,"3.9
(1.7, 8.7)","2.8
(1.0, 6.0)","0.05
(0.01, 0.3)","0.07
(0.01, 0.4)","0.003
(0.0007, 0.02)","0.006
(0.001, 0.04)","4
"
US_UT,"5.7
(2.2, 15.0)","1.6
(0.8, 4.0)","0.08
(0.02, 0.4)","0.2
(0.04, 0.7)","0.005
(0.001, 0.03)","0.03
(0.005, 0.1)","4
"
US_VA,"4.6
(1.9, 12.0)","2.6
(1.0, 5.0)","0.06
(0.02, 0.4)","0.1
(0.02, 0.5)","0.004
(0.0009, 0.03)","0.01
(0.002, 0.07)","4
"
US_VI,"3
(1.1, 12.0)","1.6
(0.3, 10.0)","0.1
(0.02, 1.0)","0.2
(0.01, 1.0)","0.02
(0.002, 0.3)","0.05
(0.003, 0.6)","2
"
US_VT,"5.5
(2.0, 16.0)","1.5
(0.9, 3.0)","0.08
(0.02, 0.4)","0.2
(0.04, 0.7)","0.006
(0.001, 0.04)","0.04
(0.007, 0.2)","3
"
US_WV,"4.1
(1.7, 12.0)","2.4
(1.0, 5.0)","0.07
(0.02, 0.4)","0.1
(0.02, 0.5)","0.005
(0.001, 0.03)","0.01
(0.002, 0.08)","3
"
US_WY,"3.7
(1.5, 9.7)","1.3
(0.7, 3.0)","0.07
(0.02, 0.4)","0.1
(0.02, 0.6)","0.004
(0.001, 0.03)","0.02
(0.002, 0.08)","3
"
Afghanistan,"3.5
(1.5, 14.0)","2.7
(1.0, 7.0)","0.07
(0.02, 0.6)","0.08
(0.01, 0.6)","0.006
(0.001, 0.05)","0.01
(0.002, 0.1)","4
"
Albania,"3.6
(1.5, 12.0)","2.1
(1.0, 7.0)","0.2
(0.04, 0.6)","0.4
(0.08, 0.8)","0.005
(0.001, 0.02)","0.03
(0.007, 0.08)","4
"
Algeria,"3.9
(1.6, 16.0)","2.6
(1.0, 6.0)","0.09
(0.02, 0.6)","0.2
(0.02, 0.7)","0.007
(0.001, 0.05)","0.03
(0.004, 0.1)","5
"
Andorra,"3.2
(1.4, 11.0)","2.5
(1.0, 9.0)","0.07
(0.02, 0.5)","0.1
(0.02, 0.6)","0.005
(0.001, 0.03)","0.02
(0.003, 0.1)","3
"
Antigua and Barbuda,"3.4
(1.2, 17.0)","2.5
(0.7, 10.0)","0.2
(0.02, 1.0)","0.2
(0.01, 1.0)","0.03
(-0.001, 0.4)","0.09
(-0.02, 0.8)","2
"
Argentina,"3.8
(1.7, 9.4)","3.7
(2.0, 9.0)","0.05
(0.01, 0.3)","0.1
(0.02, 0.5)","0.003
(0.0006, 0.02)","0.01
(0.002, 0.05)","4
"
Armenia,"7.7
(2.5, 27.0)","5.2
(1.0, 20.0)","0.2
(0.04, 0.6)","0.4
(0.08, 0.8)","0.005
(0.001, 0.02)","0.03
(0.007, 0.08)","4
"
Australia,"1.7
(1.1, 3.3)","1.1
(0.5, 3.0)","0.06
(0.01, 0.9)","0.2
(0.001, 0.7)","0.004
(0.0008, 0.06)","0.02
(0.0001, 0.09)","10
"
Austria,"3
(1.6, 7.1)","2.8
(2.0, 6.0)","0.06
(0.01, 0.4)","0.1
(0.02, 0.7)","0.002
(0.0003, 0.01)","0.01
(0.002, 0.06)","6
"
Azerbaijan,"2.7
(1.3, 7.2)","2.5
(1.0, 5.0)","0.05
(0.01, 0.4)","0.04
(0.008, 0.3)","0.003
(0.0008, 0.03)","0.004
(0.0007, 0.03)","5
"
Bahamas,"3.3
(1.2, 14.0)","2.2
(0.4, 10.0)","0.1
(0.02, 1.0)","0.2
(0.01, 1.0)","0.02
(0.003, 0.3)","0.07
(0.003, 0.7)","3
"
Bahrain,"2.8
(1.4, 7.6)","1.7
(1.0, 3.0)","0.06
(0.02, 0.4)","0.08
(0.01, 0.4)","0.003
(0.0007, 0.02)","0.003
(0.0004, 0.02)","6
"
Bangladesh,"2.4
(1.2, 6.7)","2.4
(1.0, 6.0)","0.05
(0.01, 0.5)","0.03
(0.002, 0.3)","0.005
(0.001, 0.05)","0.005
(0.0003, 0.06)","4
"
Barbados,"5.3
(1.4, 21.0)","3.2
(0.8, 20.0)","0.1
(0.02, 0.9)","0.3
(0.02, 1.0)","0.02
(0.003, 0.2)","0.09
(0.006, 0.5)","3
"
Belarus,"2.6
(1.3, 6.7)","2.6
(1.0, 6.0)","0.05
(0.01, 0.4)","0.04
(0.006, 0.3)","0.004
(0.001, 0.04)","0.005
(0.0007, 0.04)","5
"
Belgium,"4.4
(1.9, 10.0)","3.3
(2.0, 7.0)","0.1
(0.03, 0.4)","0.3
(0.06, 0.7)","0.003
(0.0009, 0.01)","0.03
(0.007, 0.08)","5
"
Benin,"3.2
(1.2, 16.0)","2.5
(0.7, 10.0)","0.1
(0.02, 1.0)","0.2
(0.009, 1.0)","0.03
(-0.001, 0.4)","0.07
(-0.008, 0.8)","2
"
Bolivia,"4.6
(1.6, 20.0)","2.7
(1.0, 9.0)","0.09
(0.02, 0.6)","0.1
(0.02, 0.6)","0.009
(0.002, 0.06)","0.03
(0.004, 0.2)","4
"
Bosnia and Herzegovina,"3.6
(1.6, 9.4)","3.4
(2.0, 8.0)","0.05
(0.01, 0.3)","0.1
(0.02, 0.5)","0.002
(0.0005, 0.01)","0.01
(0.002, 0.06)","5
"
Brazil,"7.3
(2.3, 33.0)","3.6
(2.0, 10.0)","0.1
(0.02, 0.6)","0.2
(0.03, 0.6)","0.007
(0.001, 0.04)","0.02
(0.003, 0.08)","5
"
Brunei,"4.4
(1.4, 15.0)","2.7
(0.6, 10.0)","0.1
(0.02, 0.6)","0.3
(0.03, 0.9)","0.009
(0.001, 0.04)","0.06
(0.006, 0.2)","4
"
Bulgaria,"6.5
(2.2, 24.0)","5.6
(2.0, 20.0)","0.08
(0.02, 0.4)","0.2
(0.04, 0.6)","0.003
(0.0006, 0.01)","0.02
(0.004, 0.08)","4
"
Burkina Faso,"4.9
(1.8, 15.0)","3.7
(1.0, 10.0)","0.1
(0.02, 0.5)","0.2
(0.04, 0.6)","0.005
(0.001, 0.03)","0.02
(0.004, 0.08)","3
"
Burma,"2.5
(1.2, 10.0)","2.4
(1.0, 10.0)","0.06
(0.01, 0.6)","0.05
(0.004, 0.6)","0.01
(0.002, 0.1)","0.01
(0.001, 0.2)","2
"
Cabo Verde,"3.1
(1.2, 16.0)","2.7
(0.9, 10.0)","0.09
(0.01, 1.0)","0.1
(0.006, 1.0)","0.02
(-0.004, 0.3)","0.03
(-0.01, 0.6)","2
"
