roi,quantile,q,extra_std,waic,loo
AA_Global,mean,0.2084449394014513,1.1800727431817515,401.9862454122545,402.1109778247347
AA_Global,std,0.18997416168979653,0.4218886160999958,330.30468234157576,330.5156962706884
Afghanistan,0.025,0.01429240714679109,1.2347476069292558,406.302473961949,406.3124845723336
Afghanistan,0.25,0.15518885299063115,1.4341992326031856,456.5366767042906,456.5512831984123
Afghanistan,0.5,0.36752497959540886,1.5501027869413169,482.8946183523959,482.91163631178927
Afghanistan,0.75,0.7321102538589954,1.6732291728715025,509.25256000050115,509.2719894251662
Afghanistan,0.975,1.9416830361156712,1.9327415023030978,559.486762742843,559.5107880512448
Afghanistan,mean,0.5277505988597481,1.5583902086810368,482.8946183523959,482.91163631178927
Afghanistan,std,0.5244269221149245,0.17816139981118706,39.0783427627222,39.08191800648378
Albania,0.025,0.010257995547312332,0.43808466487672404,499.75270558985676,499.8576897936954
Albania,0.25,0.09561838289570762,0.5491138064208614,531.5643792598107,531.7010815243784
Albania,0.5,0.21208963961010527,0.6135087068837297,548.2559995612605,548.4093443273161
Albania,0.75,0.42059516761669,0.6837637505160259,564.9476198627103,565.1176071302539
Albania,0.975,1.2661040077821162,0.8301302720764199,596.7592935326641,596.9609988609368
Albania,mean,0.320889694605999,0.619237909137865,548.2559995612605,548.4093443273161
Albania,std,0.3404445322315115,0.10068959990034647,24.747033289382607,24.77170749901014
Algeria,0.025,0.01303536902421741,0.912107030604903,822.8724764765602,822.8888287920039
Algeria,0.25,0.12214201578593373,1.0153289698567887,879.7236296064796,879.7561985430845
Algeria,0.5,0.2843651879854895,1.073791543030259,909.5534924294616,909.5945702450961
Algeria,0.75,0.5728760900159642,1.1374489360583158,939.3833552524435,939.4329419471078
Algeria,0.975,1.5767084322583698,1.268282422690275,996.234508382363,996.3003116981881
Algeria,mean,0.41862937146726775,1.0782853623467716,909.5534924294616,909.5945702450961
Algeria,std,0.42586969068710157,0.09118749625628556,44.22582079907086,44.23843608199735
Andorra,0.025,0.01106065603236897,1.1391266531112776,447.5172333882968,447.575477086693
Andorra,0.25,0.11511779410394762,1.3068571007805827,489.7771538429033,489.86935491300113
Andorra,0.5,0.2733292657258022,1.4036060172261433,511.95098076933766,512.0609993098633
Andorra,0.75,0.5423460742867894,1.5074291667905706,534.1248076957718,534.2526437067256
Andorra,0.975,1.4614108539645458,1.7280542183716388,576.3847281503785,576.5465215330337
Andorra,mean,0.39479063693119043,1.411443790704125,511.95098076933766,512.0609993098633
Andorra,std,0.39710299567787655,0.15033100494002324,32.8749649938907,32.90138121507535
Antigua and Barbuda,0.025,0.010068766094111982,2.3134460763376716,67.88582273970522,67.89308965251588
Antigua and Barbuda,0.25,0.127787024862611,2.948497791723451,94.8206378384819,94.8281744133786
Antigua and Barbuda,0.5,0.3192194778907569,3.3523411049287253,108.95336506255029,108.96104312944132
Antigua and Barbuda,0.75,0.6657377210005619,3.812148938889073,123.08609228661867,123.09391184550402
Antigua and Barbuda,0.975,1.8458532148020539,4.899752923836935,150.02090738539533,150.02899660636675
Antigua and Barbuda,mean,0.48056026633715104,3.4170948242891344,108.95336506255029,108.96104312944132
Antigua and Barbuda,std,0.5010574460795443,0.6622911108314089,20.95321273593831,20.953422512282987
Argentina,0.025,0.010346116794554295,1.036264451160618,721.5561737290916,721.6973793514287
Argentina,0.25,0.1212771430708438,1.1511364571951048,779.5474695282174,779.8306304116277
Argentina,0.5,0.2977176760160306,1.2169767697960658,809.975566468691,810.3332114343349
Argentina,0.75,0.6048763047282493,1.288165483590894,840.4036634091646,840.8357924570422
Argentina,0.975,1.642522094685002,1.4371532176468744,898.3949592082904,898.9690435172411
Argentina,mean,0.436352378943749,1.222209075785515,809.975566468691,810.3332114343349
Argentina,std,0.4446556411381801,0.10242075536826677,45.112764028849625,45.22319429441267
Armenia,0.025,0.00766496471515428,0.85484560480607,552.7890368474596,552.810871780162
Armenia,0.25,0.08921208065845226,0.9907506819362861,599.3414731705526,599.3668008326181
Armenia,0.5,0.22476270998358747,1.0696358286720544,623.7675879130283,623.7947482140473
Armenia,0.75,0.4693352188843408,1.152484034644019,648.193702655504,648.2226955954766
Armenia,0.975,1.3426132145675518,1.32374557111893,694.746138978597,694.7786246479327
Armenia,mean,0.3431723192012301,1.0745733862499292,623.7675879130283,623.7947482140473
Armenia,std,0.36834990876356555,0.12015183558444575,36.21421190666691,36.21692898124515
Australia,0.025,0.003599217048025149,1.5972340430673548,1028.09511086774,1028.1067269870719
Australia,0.25,0.04548641867824449,1.750988007884026,1128.5094187963564,1128.5233375060488
Australia,0.5,0.11690197389671463,1.839778712077046,1181.196917045164,1181.2120439265611
Australia,0.75,0.25269222595078905,1.932420607340712,1233.8844152939712,1233.9007503470734
Australia,0.975,0.7898088095118522,2.1224875079930694,1334.2987232225878,1334.3173608660504
Australia,mean,0.1890652173562022,1.8447779198949439,1181.196917045164,1181.2120439265611
Australia,std,0.21483424956392266,0.13460702256063511,78.11460179119183,78.11639302924164
Austria,0.025,0.00817469511337281,1.067963756474271,1150.5628849352515,1150.5751313645928
Austria,0.25,0.093789825800245,1.1813705527401326,1235.6041943262785,1235.6169204050134
Austria,0.5,0.23494504416810102,1.2456884084180522,1280.2254632673664,1280.2384410186678
Austria,0.75,0.4859653670676463,1.3149501205385683,1324.8467322084546,1324.859961632322
Austria,0.975,1.346820189256897,1.458329147535923,1409.8880415994815,1409.9017506727425
Austria,mean,0.3529767794771667,1.2501486613870447,1280.2254632673664,1280.2384410186678
Austria,std,0.36848453322556457,0.09935821423282146,66.15559232459206,66.15596545489737
Azerbaijan,0.025,0.01195829610153595,1.2581299301344884,554.3609766079602,554.365441767159
Azerbaijan,0.25,0.13927088129213927,1.4399987493407858,616.3498069611637,616.3547094372027
Azerbaijan,0.5,0.3400886184523899,1.5434118679305082,648.8754146962867,648.8805466329545
Azerbaijan,0.75,0.6774238784727885,1.6541447884901905,681.4010224314095,681.4063838287062
Azerbaijan,0.975,1.8266660082431296,1.8845888602576086,743.3898527846131,743.3956514987499
Azerbaijan,mean,0.4918805811957625,1.5510749687965317,648.8754146962867,648.8805466329545
Azerbaijan,std,0.49641240588726954,0.15971636916480914,48.222538186336195,48.22287838517364
Bahamas,0.025,0.011944632187767572,1.2214861748837746,151.86561936265775,151.86953545327665
Bahamas,0.25,0.12681475292720604,1.5407211495359001,176.9520188306065,176.95602654588117
Bahamas,0.5,0.30723924418393284,1.7285405385690664,190.11488033213718,190.1189361229699
Bahamas,0.75,0.6267079288977078,1.931352816773193,203.27774183366782,203.28184570005865
Bahamas,0.975,1.7457300845582178,2.373426325702426,228.3641413016166,228.36833679266314
Bahamas,mean,0.45744215902445895,1.7460649063750138,190.11488033213718,190.1189361229699
Bahamas,std,0.4713210018590556,0.2935375159570445,19.51528766405133,19.51535894098037
Bahrain,0.025,0.012347046864424125,1.1774364382929043,775.7417270846942,775.8362486203886
Bahrain,0.25,0.13442230096286067,1.3071425421547784,839.6894471611654,839.8254738431947
Bahrain,0.5,0.32654737763823716,1.3821735281406253,873.2428864971162,873.4006909752575
Bahrain,0.75,0.6577002677891968,1.4604007958213479,906.7963258330667,906.9759081073205
Bahrain,0.975,1.7488113151574811,1.6274870107838453,970.744045909538,970.9651333301266
Bahrain,mean,0.47334003774147915,1.3870066671833965,873.2428864971162,873.4006909752575
Bahrain,std,0.47439205836973247,0.11493723556133029,49.74640359797354,49.77869140680385
Bangladesh,0.025,0.011051709997650674,0.8499889483428081,417.64498781028385,417.67808663796995
Bangladesh,0.25,0.12507087288571947,1.0233097247846288,461.9999394732748,462.03901868969797
Bangladesh,0.5,0.30852135899213395,1.118535979742496,485.2730315881066,485.31524872110356
