roi,quantile,R0,United States_avg,ar,car,ifr,ir,loo,lp__rhat,waic,n_data_pts,t0
AA_Global,mean,0.036037212377617096,0.01843840573953289,0.1327434064933998,0.0055764625852599385,0.0003723676831259896,0.0001948991226562022,75.50377442684145,0.02642359799607941,92.1034444924324,790.5303228918694,75.80285663349308
AA_Global,std,0.2988000931345522,0.14981984611800045,6.435442010891438,0.07736052975532307,0.004389855433236234,0.005389690681688939,670.1992198835527,0.336658368701035,859.1645260202699,186.93776534438268,19.566928116635193
AA_United States,mean,0.0008395991014486865,0.0008395991014486865,1.8119455335893364e-06,0.0001883352210410802,3.546563714110125e-05,1.8064656596114954e-06,0.6158422081356746,0.0007130056801926274,0.6115713610959066,805.520118694362,73.11207121661721
AA_United States,std,0.03145043051125804,0.016145014806353362,6.787342553846054e-05,0.007054823870052611,0.0013285025609473776,6.766815567162388e-05,23.068750954415464,0.02670838446627495,22.908769866040462,135.92310517735444,6.837640476272646
Afghanistan,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,880.0,83.0
Afghanistan,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,880.0,83.0
Afghanistan,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,880.0,83.0
Afghanistan,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,880.0,83.0
Afghanistan,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,880.0,83.0
Afghanistan,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,83.0
Afghanistan,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,83.0
Albania,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,921.0,70.0
Albania,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,921.0,70.0
Albania,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,921.0,70.0
Albania,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,921.0,70.0
Albania,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,921.0,70.0
Albania,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,70.0
Albania,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,70.0
