roi,quantile,param,SICRdiscrete1Nwk,SICRdiscrete2Nwk,SICRdiscrete3Nwk,SICRdiscrete4Nwk,SICRdiscrete5Nwk,SICRdiscrete6Nwk,SICRdiscreteNwk,model_contributions_loo,model_contributions_waic
Australia,0.025,loo,94437.09367,96015.41214,85203.93862999999,528343.3524,87761.39503,86800.98710967258,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.025,waic,-367998.8278,-316186.2735,103166.731,9909697.139,116490.526,105477.28143693657,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.25,loo,124421.8386,126278.7063,121355.5196,737289.9744,116121.6512,122494.73179631814,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.25,waic,852874.9191,882228.6198,147366.4787,18466773.38,156987.1119,150730.41588599677,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.5,loo,140154.8674,142157.8902,140324.294,846924.4977,131002.3089,141223.27904685464,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.5,waic,1493468.7219999996,1511038.238,170558.1351,22956680.73,178235.7152,174474.78550046304,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.75,loo,155887.8962,158037.074,159293.0685,956559.021,145882.9666,159951.82629739115,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.75,waic,2134062.525,2139847.856,193749.7915,27446588.09,199484.3186,198219.1551149293,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.975,loo,185872.6411,188300.3682,195444.6494,1165505.643,174243.2228,195645.57098403672,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,0.975,waic,3354936.272,3338262.749,237949.5392,36003664.33,239980.9045,243472.2895639895,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,mean,loo,140154.8674,142157.8902,140324.294,846924.4977,131002.3089,141223.27904685464,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,mean,waic,1493468.7219999996,1511038.238,170558.1351,22956680.73,178235.7152,174474.78550046304,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,std,loo,23325.82337,23542.51322,28123.14707,162544.3874,22062.09614,27766.985703032387,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Australia,std,waic,949745.7936,932274.5344,34384.00127,6656746.602000001,31503.22646,35203.4550674247,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
Austria,0.025,loo,1467499.508,1439636.6630000004,1431769.832,2253375.546,1437957.0380000004,1430479.5819238569,,['SICRdiscrete5Nwk'],['SICRdiscrete3Nwk']
